013000002200000480000700019000900800700000020000300000002630900409070600001490008,913584762257169483648723519136942857795816324824357196572638941489271635361495278
500070600410053007067120008840000010000010306000700020000000065000000870030000000,529478631418653297367129458846532719275914386193786524982347165654291873731865942
000000000008004010004070000800300069007100004095000000400510703070800900500006080,712983645938654217654271398841327569267195834395468172486519723173842956529736481
060050030001020050700003400426038000003000000057401200000007000000810007000060001,264159738381724956795683412426538179913276584857491263138947625642815397579362841
000600409008000000003009000001705000800000001040300000030000056100000030094008007,512673489978142563463859712321795648859426371746381295237914856185267934694538127
046000580718000006500040000100006750080000010020005804000007400069000070200001000,946712583718359246532648197193486752485273619627195834351967428869524371274831965
600000001000630000082410009000005010040000000209008005004000080000020460500000000,697852341451639278382417659873265914145973826269148735714396582938521467526784193
002805007090027400000010009080000731300000000400071000000000004010900000000000253,142895367893627415756413829685249731371568942429371586238756194514932678967184253
400007910000400000200500036503000020000070100070129000000903000305000060000060000,456237918931486572287591436513648729629375184874129653762953841395814267148762395
000000004901060500008000090800403706000010000540007180000039007000040050000700810,756981234921364578438572691819453726673218945542697183285139467197846352364725819
